,id,loc,dis
0,一匡街地铁站,"125.324210,43.925303",1979
1,荣旺天下C,"125.346561,43.916589",1933
2,基隆逸居南门,"125.285030,43.941127",5984
3,小南站,"125.323544,43.817071",14297
4,新惠路龙泰檀香苑一期,"125.283657,43.930311",7607
5,基隆家园东区,"125.284928,43.939867",6133
6,春铁新城,"125.330157,43.921204",2161
7,新月路新月山庄,"125.288609,43.935972",5581
8,华大城四期,"125.333361,43.956673",4120
9,钻石村,"125.346145,43.921428",1635
10,柳江路豪邦四季经典C区,"125.280221,43.931759",7920
11,九台路与庆丰路交汇,"125.329950,43.931220",963
12,新隆家园,"125.279659,43.937653",6189
13,包毫斯国际社区,"125.316565,43.818692",15735
14,柳影路万龙第五城,"125.302146,43.940900",3989
15,康泰乐园3期,"125.322299,43.927225",1880
16,新月路法官公寓,"125.292074,43.935793",5379
17,美景天城2期,"125.307986,43.935071",3710
18,柳影路铁路小区,"125.311259,43.941364",3407
19,团山街城开美御,"125.355312,43.922259",2942
20,柳影路豪邦新月花园,"125.295642,43.938854",5337
21,机车小区,"125.320001,43.928258",1895
22,铁路小区,"125.302979,43.891192",9824
23,郡望安石,"125.331610,43.936397",1542
24,香槟小镇,"125.341581,43.931876",652
25,东田青年城C 区,"125.291694,43.943211",6088
26,白金首府,"125.348910,43.928470",1448
27,君子兰家园,"125.342399,43.920234",1275
28,豪邦四季经典C区,"125.280364,43.931770",7596
29,金美程家园,"125.348569,43.922022",1599
30,雨润溪树华庭,"125.349553,43.926207",1817
31,豪邦四季风采,"125.295695,43.934932",5318
32,豪邦四季中央,"125.296991,43.935704",5154
33,宽城区龙泰檀香苑,"125.286055,43.933835",7933
34,"荣旺天下G区益万家超市
","125.354221,43.919306",3133
35,新星宇和顺小区,"125.331484,43.927027",1515
36,华大天朗四期,"125.344279,43.945365",2517
37,雨润溪树华庭小区,"125.349364,43.925138",1943
38,恒大江湾,"125.360172,43.946627",5812
39,华大天朗,"125.345208,43.948490",2799
40,万龙北斗星城A区,"125.296381,43.942886",4502
41,城开泰和嘉园,"125.336586,43.914346",1860
42,凯旋花园西1门,"125.318846,43.934182",2998
43,长新街铁路小区,"125.335835,43.930323",454
44,雨润溪树华庭,"125.349553,43.926207",1817
45,上台花园小区,"125.340040,43.938556",1809
