,id,loc,dis
0,九台路与富城路交汇,"125.329950,43.931220",1074
1,上台花园C区南门,"125.343106,43.938717",3131
2,紫金豪庭东门,"125.335771,43.938949",2616
3,紫金豪庭,"125.335771,43.938949",2616
4,中正御华庭东北门,"125.335362,43.933687",2112
5,中邑上都城,"125.323544,43.817071",14375
6,证大光明城三期南门,"125.330233,43.938739",1931
7,证大光明城三期南门,"125.330233,43.938739",1931
8,正大光明城三期南门,"125.330489,43.938474",1976
9,友谊花园,"125.320090,43.936737",2190
10,英伦小镇二期（尚邻路）,"125.300247,43.956956",6470
11,英伦小镇二期,"125.301097,43.956786",5806
12,英伦小镇,"125.307047,43.951043",4722
13,一匡街与亚泰大街交汇,"125.338823,43.921178",954
14,耀江五月花苑,"125.333818,43.925013",460
15,亚泰大街与天光路交汇钻石礼都,"125.339658,43.922210",900
16,亚泰大街与宽府路交汇,"125.335133,43.941567",2519
17,亚太大街一匡街交汇,"125.359258,43.924393",2588
18,亚泰大街宽府路交汇,"125.335133,43.941567",2519
19,小南街与团兴街交汇,"125.334852,43.960688",5185
20,小南街万盛珑玺B区,"125.336138,43.955323",4589
21,小南街沈铁北部湾,"125.332774,43.954984",4812
22,小南街华大天朗欧亚超市,"125.364417,43.825725",14034
23,小南街,"125.334852,43.960688",5185
24,香槟小镇(华桥城),"125.340908,43.932803",1976
25,吴中印象一期,"125.334992,43.943573",2863
26,五月花苑小区,"125.330936,43.924847",396
27,五月花小区,"125.333480,43.924662",385
28,温馨花园,"125.336130,43.922033",692
29,万星幸福城一期,"125.333705,43.949346",3681
30,万星幸福城B区,"125.334114,43.948937",3632
31,万龙国际城三期,"125.320490,43.952957",5144
32,台北大街东方花园小区,"125.309501,43.923371",3326
33,万龙北斗星城C区,"125.296899,43.940880",4162
34,团山街轮胎厂宿舍,"125.357022,43.939454",4125
35,天润中华城B区,"125.341890,43.920172",1323
36,天光路金地名悦,"125.326407,43.919530",1248
37,天光路金地名悦,"125.326407,43.919530",1248
38,台北雅苑,"125.320613,43.922281",1073
39,台北大街与亚泰大街交汇,"125.338823,43.921178",954
40,上台新村北门,"125.345958,43.937504",2745
41,上台花园A区,"125.339543,43.940467",2994
42,荣旺天下DE区正门（金苹果家园对面）,"125.349546,43.919534",2080
43,庆丰路地铁站,"125.324188,43.937160",1819
44,庆丰路,"125.333344,43.937362",2460
45,美印雅苑东天光路与利国街交汇处,"125.346423,43.919857",1981
46,美印雅苑东天光路与利国街交汇,"125.346423,43.919857",1981
47,美印雅苑,"125.346423,43.919857",1981
48,美景天城二期北门,"125.307930,43.935957",3226
49,柳影路万龙第八城,"125.306080,43.940701",3211
50,柳影路,"125.314064,43.937323",2512
51,乐嘉茗园公交21路农安北街站,"125.300723,43.944509",3856
52,宽府路站,"125.330062,43.942557",2223
53,宽府路,"125.298724,43.942621",0
54,宽城区天光路,"125.332757,43.920230",796
55,宽城区天光路,"125.332757,43.920230",796
56,宽城区东田青年城北门。,"125.292974,43.945261",5859
57,"宽城区长江花园
","125.370651,43.883343",7847
58,凯旋路凯旋花园,"125.319134,43.934428",1985
59,凯旋花园,"125.318846,43.934182",2612
60,九台路与长新街交汇处,"125.329202,43.930891",851
61,九台路交庆丰路交汇,"125.337294,43.937788",2242
62,九台路,"125.329789,43.919390",578
63,金美程家园西区,"125.348569,43.922022",1712
64,华美春城小区,"125.338554,43.914914",1650
65,华大城五期,"125.333361,43.956673",5253
66,华大城二期南门,"125.333421,43.959128",5127
67,恒大城,"125.291287,43.946914",4668
68,公交车288路庆丰路站,"125.324700,43.936000",1756
69,富城路站,"125.328178,43.944964",2451
70,二道区中顺福苑5栋301,"125.371941,43.934629",4509
71,东田青年城D区新月路宽城交警队,"125.289599,43.936931",4978
72,东环城路与宜良路交汇,"125.381067,43.926559",4372
73,长新街与亚泰大街交汇,"125.338823,43.921178",954
74,长新街与凯旋路交汇马赛公寓,"125.336928,43.931392",1665
75,长新街香槟小镇南门,"125.341581,43.931876",1785
76,长新街内饰件宿舍,"125.341050,43.930567",1806
77,长新街马塞公寓,"125.318899,43.931967",1839
78,北凯旋路与尚邻路交汇,"125.313452,43.963358",5152
79,北环路与凯旋路交汇,"125.316501,43.913713",2415
80,北环城路与凯旋路,"125.317854,43.950478",4901
81,"包豪斯小区
","125.335921,43.931923",1862
82,铁北四路z223路北七条站,"125.348077,43.916078",2694
83,青旅宽城一号南门,"125.322953,43.942782",2513
84,基隆逸居,"125.285207,43.942017",5430
85,证大光明城三期南门,"125.330233,43.938739",1931
86,美印雅苑,"125.346423,43.919857",1981
87,菜市北街塞纳阳光小区,"125.309372,43.945431",3785
88,证大清华园7号门,"125.330752,43.941487",2198
89,地铁名典,"125.323814,43.932281",1271
90,台北大街澎湖林苑,"125.306138,43.925500",3452
91,上台花园C区南门,"125.343106,43.938717",3131
92,北远达大街站,"125.385042,43.990509",13398
93,亚泰大街与一匡街交汇中岳花园,"125.341377,43.925111",1862
94,华大天朗,"125.345208,43.948490",4042
95,亚泰大街与长新街交汇包豪斯小区,"125.335921,43.931923",1862
96,友谊花园北门,"125.320374,43.937034",2134
97,宽府路站,"125.330062,43.942557",2223
98,劳模会馆,"125.349006,43.930739",2218
99,上台花园C区,"125.343106,43.938717",3131
100,卓扬中华城东北门,"125.331249,43.947879",3158
101,远创紫樾台,"125.297457,43.920041",4197
102,豪邦四季经典A区,"125.278864,43.936033",5969
103,宽府路,"125.330062,43.942557",2223
104,万龙国际城三期,"125.320490,43.952957",5144
105,证大清丰园三期,"125.329958,43.939750",2042
106,紫金豪庭,"125.335771,43.938949",2616
107,凯旋小区,"125.319134,43.934428",1985
