,id,loc,dis
0,富城路与亚泰大街交汇万盛国邦,"125.338530,43.947330",4363
1,亚泰大街与庆丰路交汇,"125.333959,43.938554",2169
2,亚泰大街与庆丰路交汇,"125.333959,43.938554",2169
3,宽府路证大一期三号门,"125.330062,43.942557",2214
4,凯旋路与铁北二路北二胡同交汇金玉良园小区,"125.315583,43.916607",2403
5,亚泰大街与天光路交汇钻石礼都西区南门,"125.339658,43.922210",999
6,九台路与宽府路交汇吴中印象二期西门,"125.330962,43.943927",2581
7,虹景路与美程街交汇虹景阁小区,"125.348743,43.927131",2323
8,北人民大街与长新街交汇地铁名典海棠苑,"125.323110,43.932304",1653
9,小南街万盛珑玺B区,"125.336138,43.955323",4580
10,北亚泰大街与富城路交汇万盛国邦小区,"125.338580,43.946145",3444
11,东方广场轻轨站,"125.317162,43.832288",13669
12,榆树北街与宋家路交会,"125.305659,43.945723",3867
13,柳影路铁路小区干休所,"125.310552,43.940665",2945
14,北亚泰大街与一匡街交汇,"125.331865,43.924126",393
15,长新街和美程街交汇处,"125.329772,43.930777",1163
16,小南街与华城路交汇华大城二期小区,"125.333421,43.959128",5118
17,九台路和庆丰路交汇郡望安石小区,"125.330990,43.937200",2162
18,柳影路与菜市南街交汇,"125.296362,43.944073",4041
19,九台路和庆丰路交汇宽城区证大光明城,"125.330320,43.939942",1966
20,小城子路第一卫生所,"125.287281,43.965819",9701
21,长新街与北亚太大街交汇,"125.339995,43.903415",3040
22,天波路和一匡街交汇五月花苑小区,"125.333818,43.925013",559
23,正大光明城北侧宽府路288公交站,"125.330062,43.942557",2214
24,小南街与朗秀路交汇,"125.338482,43.942383",3513
25,长新街白金首府,"125.348678,43.929664",2537
26,长新桥,"125.368401,43.931450",3968
27,万星幸福城,"125.334114,43.948937",3657
28,亚太大街8路终点站,"125.339995,43.903415",3040
29,团山小区,"125.356426,43.943738",4772
30,团山小区,"125.356426,43.943738",4772
31,金质融城三期,"125.326922,43.934438",1536
32,万龙第十城,"125.315724,43.955516",5332
33,万盛国邦,"125.338530,43.947330",4363
34,紫金豪庭,"125.335771,43.938949",2607
35,紫金豪庭,"125.335771,43.938949",2607
36,雨润溪树华庭,"125.349553,43.926207",1899
37,东安白金首府,"125.347987,43.928912",2088
38,砂之船,"125.326391,43.947650",3067
39,亚泰大街与庆丰路交汇,"125.333959,43.938554",2169
40,长新街,"125.329772,43.930777",1163
41,英伦小镇,"125.307047,43.951043",4713
42,华泰小区,"125.321697,43.925610",960
43,扶余路与榆树南街交汇,"125.303351,43.938444",3889
44,西环城路四季青小学做235路到庆丰路与九台路做288路,"125.250313,43.909268",10846
45,地铁,"125.325708,43.841070",11382
46,地铁,"125.325708,43.841070",11382
47,东天光路金苹果家园,"125.350559,43.922360",2173
48,长白路东四条,"125.335710,43.908058",3110
49,扶余路与菜市南街交汇美景天城,"125.303971,43.939322",3480
50,凯旋路与北辰路交汇中冶蓝城小区,"125.315947,43.951906",4918
51,青年路长安世家,"125.288964,43.954630",5650
52,长新街白金首府劳模会馆,"125.348678,43.929664",2537
53,小南街与亚泰大街交汇万盛国邦,"125.338530,43.947330",4363
