,id,loc,dis
0,青年路与兴旺路交汇,"125.286930,43.976300",5939
1,盛北大街与龙湖大路交汇,"125.398733,43.975684",12648
2,春天花园小区1号门,"125.296571,43.922757",3230
3,豪邦四季经典C区,"125.280364,43.931770",4128
4,亚泰大街与庆丰路交汇,"125.333959,43.938554",3580
5,"农安南街与南果路交汇
","125.294922,43.934866",1548
6,农安南街与南果路交汇,"125.294922,43.934866",1548
7,华亨名城1期,"125.314281,43.948454",1287
8,司法局长安世家,"125.292246,43.957064",5377
9,新隆家园,"125.279659,43.937653",2663
10,豪邦四季经典C区,"125.280364,43.931770",4128
11,金都小镇,"125.289100,43.966024",4698
12,新隆家园,"125.279659,43.937653",2663
13,金都小镇,"125.289100,43.966024",4698
14,中冶蓝城三期,"125.317355,43.955859",2049
15,宽府路,"125.330062,43.942557",3613
16,公园道一号二期,"125.374013,43.881635",13278
17,青年城与北环城路交汇恒大城,"125.291287,43.946914",1421
18,公园道一号二期,"125.374013,43.881635",13278
19,新隆家园,"125.279659,43.937653",2663
20,车轮厂,"125.292718,43.932556",2311
21,长新街与远达大街交汇,"125.380938,43.903286",11952
22,大营子聚富小区,"125.253423,43.984341",7000
23,车轮厂,"125.292718,43.932556",2311
24,高新区伟业富强天玺,"125.225233,43.774260",24572
25,万盛麓湖云镜,"125.323544,43.817071",19724
26,新大华府,"125.282220,43.938146",2670
27,新大华府,"125.282220,43.938146",2670
28,华大城一期,"125.333856,43.956194",3812
29,华大天朗B区,"125.343485,43.947911",5749
30,金阳万田,"125.280873,43.972253",6553
31,金阳万田小区,"125.281054,43.972260",6553
32,青年路与兴旺路交汇金阳万田小区,"125.281054,43.972260",6553
33,长新街与亚泰大街交汇处,"125.337024,43.931119",4253
34,万龙国际城三期,"125.320490,43.952957",1988
