,id,loc,dis
0,北凯旋路中冶兰城北门,"125.316863,43.953527",4269
1,宽府路证大一期3号门,"125.330062,43.942557",2237
2,北凯旋路中冶蓝城北门,"125.316231,43.954282",4148
3,九台北路金质融城二期,"125.327712,43.936189",1578
4,华大天朗国际a区,"125.342772,43.948486",3943
5,万龙第八城c区,"125.306002,43.937987",3257
6,桐雨街,"125.323544,43.817071",15201
7,雨润溪树华庭,"125.349553,43.926207",2626
8,上台花园D区,"125.342049,43.941614",3449
9,小南,"125.334855,43.959771",5104
10,北亚泰大街富台路交汇,"125.338003,43.939176",2443
11,长新桥,"125.368401,43.931450",3991
12,天合花园,"125.327846,43.927220",287
13,郡望安石,"125.331610,43.936397",3501
14,华大天朗国际,"125.344367,43.950086",4624
15,证大三期北门,"125.330227,43.938277",1851
16,万龙第十城a区,"125.315646,43.955895",5135
17,凯悦小区,"125.296614,43.954810",7822
18,吴中印象二期,"125.330962,43.943927",2604
19,万盛国邦,"125.338530,43.947330",4386
20,庆丰路,"125.333344,43.937362",1917
21,"凯旋路与上临路交汇 京誉府南门
","125.317062,43.924913",1110
22,团山小区,"125.356426,43.943738",4795
23,桃源路西圈,"125.353036,43.892623",5763
24,"东岭南街繁荣路交汇，卫星花园
","125.349553,43.838087",12172
25,香槟小镇,"125.341581,43.931876",1939
26,万龙第十城站,"125.315724,43.955516",5191
27,预制构建楼,"125.323544,43.817071",15201
28,大众悦榕湾,"125.388363,43.945234",10048
29,万龙国际城三期,"125.320490,43.952957",4962
30,庆丰路与铭台街交汇,"125.337294,43.937788",2256
31,中东广场,"125.326595,43.950096",3480
32,美景天城一期,"125.299967,43.938121",3786
33,天光路钻石礼都,"125.341391,43.922257",1923
34,万龙台北明珠,"125.314475,43.918051",2570
35,长新街派出所,"125.359498,43.931585",3281
36,常欣家园一区,"125.354454,43.930081",2993
37,塞纳阳光,"125.309372,43.945431",3603
38,华大天朗三期欧亚超市门口,"125.364417,43.825725",14860
39,华侨城E1栋,"125.346244,43.932617",2363
40,证大三期西门（九台北路）,"125.330227,43.938277",1851
41,长春市宽城区华美春城B3栋,"125.337348,43.915230",2908
42,上台花园C区,"125.343106,43.938717",3279
43,华源公园一号,"125.315929,43.966706",5506
44,兆丰嘉座,"125.339218,43.930226",1883
45,中岳小区（亚泰大街与一匡街交汇）,"125.339891,43.924428",1663
46,中冶蓝城,"125.316863,43.953527",4269
47,美景天城二期,"125.307023,43.935237",3515
48,华大天朗,"125.345208,43.948490",4056
49,金质融城三期,"125.326922,43.934438",1559
50,美程街与一匡街交汇,"125.347861,43.923777",2385
51,庆丰路,"125.333344,43.937362",1917
52,庆丰路,"125.333344,43.937362",1917
53,吉林工师家属楼,"125.318606,43.940348",2447
54,小南街华大天朗四期B区,"125.344288,43.945356",3773
55,小南街华大城一期,"125.333856,43.956194",5256
