,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
0,0,北凯旋路中冶兰城北门,"125.316863,43.953527",4269,"125.318088378907,43.951525607639",2,"-0.008578830294993622,0.025938585068999487"
1,1,宽府路证大一期3号门,"125.330062,43.942557",2237,"125.331262207032,43.940646701389",1,"0.004594997829997283,0.015059678819000055"
2,2,北凯旋路中冶蓝城北门,"125.316231,43.954282",4148,"125.31745686849,43.952283799914",2,"-0.009210340712002107,0.02669677734400011"
3,3,九台北路金质融城二期,"125.327712,43.936189",1578,"125.328924967448,43.934326171875",1,"0.00225775824600305,0.008739149305000637"
4,4,华大天朗国际a区,"125.342772,43.948486",3943,"125.343947753907,43.946537543403",1,"0.0172805447050024,0.0209505208329972"
5,5,万龙第八城c区,"125.306002,43.937987",3257,"125.307258843316,43.936105957032",2,"-0.019408365885993817,0.010518934461998697"
7,7,雨润溪树华庭,"125.349553,43.926207",2626,"125.350722113716,43.924423285591",0,"0.02405490451400283,-0.0011637369790022944"
8,8,上台花园D区,"125.342049,43.941614",3449,"125.343224826389,43.939720323351",1,"0.016557617187004325,0.014133300780997615"
9,9,小南,"125.334855,43.959771",5104,"125.336047905816,43.957735731337",1,"0.009380696614002204,0.0321487087670036"
10,10,北亚泰大街富台路交汇,"125.338003,43.939176",2443,"125.339193522136,43.937294108073",1,"0.012526312933999861,0.011707085502997927"
11,11,长新桥,"125.368401,43.931450",3991,"125.369526909723,43.929641384549",0,"0.042859700521006516,0.004054361979001442"
12,12,天合花园,"125.327846,43.927220",287,"125.329053819445,43.925431586372",0,"0.00238661024299347,-0.00015543619799984754"
13,13,郡望安石,"125.331610,43.936397",3501,"125.332815483941,43.934533420139",1,"0.006148274739004478,0.008946397568998066"
14,14,华大天朗国际,"125.344367,43.950086",4624,"125.345532226563,43.948119574653",1,"0.01886501736099433,0.022532552082999757"
15,15,证大三期北门,"125.330227,43.938277",1851,"125.331421983507,43.936399739584",1,"0.004754774304998932,0.010812717013997997"
16,16,万龙第十城a区,"125.315646,43.955895",5135,"125.316875542535,43.953882107205",2,"-0.009791666666998822,0.028295084634997636"
17,17,凯悦小区,"125.296614,43.954810",7822,"125.297880045573,43.952811686198",2,"-0.028787163629004908,0.02722466362799736"
18,18,吴中印象二期,"125.330962,43.943927",2604,"125.33216498481,43.942007921007",1,"0.00549777560800635,0.01642089843699779"
19,19,万盛国邦,"125.338530,43.947330",4386,"125.339716254341,43.945390353733",1,"0.01304904513899885,0.019803331163004145"
20,20,庆丰路,"125.333344,43.937362",1917,"125.334540473091,43.935496148004",1,"0.007873263888996007,0.009909125433999577"
21,21,"凯旋路与上临路交汇 京誉府南门
","125.317062,43.924913",1110,"125.318294542101,43.923132866754",2,"-0.00837266710099982,-0.002454155815996728"
22,22,团山小区,"125.356426,43.943738",4795,"125.357571885851,43.941825086806",1,"0.030904676649001317,0.01623806423599916"
23,23,桃源路西圈,"125.353036,43.892623",5763,"125.354205729167,43.891099175348",0,"0.027538519965006003,-0.03448784722199605"
25,25,香槟小镇,"125.341581,43.931876",1939,"125.342762044271,43.93004530165",0,"0.01609483506899778,0.004458279079997851"
26,26,万龙第十城站,"125.315724,43.955516",5191,"125.316955837674,43.9535023329",2,"-0.009711371527998836,0.02791531033000183"
29,29,万龙国际城三期,"125.320490,43.952957",4962,"125.321707899306,43.950962727865",2,"-0.004959309895994579,0.025375705294997886"
30,30,庆丰路与铭台街交汇,"125.337294,43.937788",2256,"125.338481174046,43.935913628473",1,"0.011813964843994995,0.010326605903003383"
31,31,中东广场,"125.326595,43.950096",3480,"125.327804090712,43.948125542535",1,"0.0011368815099928042,0.022538519965003445"
32,32,美景天城一期,"125.299967,43.938121",3786,"125.301224772136,43.936246473525",2,"-0.025442437066004686,0.010659450955003535"
33,33,天光路钻石礼都,"125.341391,43.922257",1923,"125.342580023872,43.920500488282",0,"0.015912814670002717,-0.005086534287997324"
34,34,万龙台北明珠,"125.314475,43.918051",2570,"125.315706651476,43.916322428386",2,"-0.010960557725994136,-0.009264594183996167"
35,35,长新街派出所,"125.359498,43.931585",3281,"125.360637478299,43.929767523872",0,"0.033970269096997185,0.004180501302002426"
36,36,常欣家园一区,"125.354454,43.930081",2993,"125.355605197483,43.928279622396",0,"0.028937988281001026,0.002692599825998343"
37,37,塞纳阳光,"125.309372,43.945431",3603,"125.310617947049,43.943497450087",2,"-0.01604926215300395,0.017910427517001892"
39,39,华侨城E1栋,"125.346244,43.932617",2363,"125.347414550782,43.930783420139",0,"0.02074734158000524,0.005196397569001476"
