,id,loc,dis
0,万龙第八城E区,"125.309908,43.937169",3261
1,沈铁盛华庭,"125.335060,43.909761",10183
2,恒大城（桐雨社区）,"125.291287,43.946914",2148
3,五星小区,"125.296963,43.949586",1594
4,田园牧歌,"125.302151,43.963260",1999
5,金都小镇,"125.289100,43.966024",5425
6,公园一号,"125.276076,43.894650",9078
7,绿园区正阳街与锦西路交汇处,"125.271787,43.893732",9277
8,公园一号三期,"125.276076,43.894650",9078
9,天泽凯旋华府,"125.319142,43.959564",3201
10,英伦小镇三期,"125.309787,43.953373",1264
11,京誉府,"125.323544,43.817071",20451
12,英伦小镇B区,"125.306239,43.950159",1180
13,万龙国际城三期,"125.320490,43.952957",2543
14,"
四间新村","125.323544,43.817071",20451
15,公园一号二期,"125.276076,43.894650",9078
16,英伦小镇A区,"125.305704,43.953547",778
17,大营子小区,"125.259756,43.985865",7036
18,公园一号,"125.276076,43.894650",9078
19,兆丰凯旋明珠,"125.273693,44.001696",8501
20,英伦小镇三期,"125.309787,43.953373",1264
21,万龙银河城二期,"125.182753,43.861062",18270
22,英伦小镇A区,"125.305704,43.953547",778
23,雨润星雨华府一期,"125.272580,43.990453",7558
24,天泽凯旋华府,"125.319142,43.959564",3201
25,邱家小区四期,"125.278060,44.003291",9161
26,豪邦四季台北小区,"125.299914,43.922923",5263
27,万星幸福城,"125.334114,43.948937",3921
28,田园牧歌,"125.302151,43.963260",1999
29,四间房子,"125.283745,43.963722",4002
30,侯家营子。,"125.216031,43.974968",10734
31,张家窝棚屯,"125.227849,43.964995",10187
32,利民小区,"125.656967,43.523285",68508
33,四环路与四间南路交汇处,"125.274650,43.935866",3854
34,天宝街省政府宿舍楼,"125.296147,43.874559",10881
35,豪邦四季经典C区,"125.280364,43.931770",4855
36,田园牧歌,"125.302151,43.963260",1999
37,华泰世纪新城一期柳林路,"125.305209,43.944104",1902
38,陈家沟地房,"125.255424,43.949505",5772
39,四间新村,"125.276475,43.966653",4796
40,万龙第十城,"125.315724,43.955516",2592
41,公园一号二期,"125.276076,43.894650",9078
42,恒大城（桐雨社区）,"125.291287,43.946914",2148
43,五星小区,"125.296963,43.949586",1594
44,田园牧歌,"125.302151,43.963260",1999
45,金都小镇,"125.289100,43.966024",5425
46,万龙第八城E区,"125.309908,43.937169",3261
47,沈铁盛华庭,"125.335060,43.909761",10183
48,金都小镇,"125.289100,43.966024",5425
49,万龙国际城三期,"125.320490,43.952957",2543
50,美景天城A1区4号门,"125.300001,43.938184",2479
51,长江花园小区,"125.285756,43.948445",2849
52,田园牧歌,"125.302151,43.963260",1999
53,陈家沟,"125.255424,43.949505",5772
54,万龙第十城,"125.315724,43.955516",2592
55,万嘉花园,"125.280579,43.920137",5604
56,中冶蓝城,"125.316863,43.953527",2501
57,中正御华庭,"125.335362,43.933687",5268
58,中冶蓝城三期,"125.317355,43.955859",2604
59,公园壹号1期,"125.323544,43.817071",20451
60,恒大城2期,"125.291287,43.946914",2148
61,金都小镇,"125.289100,43.966024",5425
62,恒大城,"125.291287,43.946914",2148
63,长江花园,"125.369934,43.884823",13438
64,长江花园,"125.369934,43.884823",13438
65,万龙第十城,"125.315724,43.955516",2592
66,公园一号三期,"125.276076,43.894650",9078
67,万龙国际城一期,"125.319562,43.952725",2322
68,中冶蓝城一期,"125.316542,43.951953",2674
69,万龙第十城,"125.315724,43.955516",2592
70,万龙第十城,"125.298724,43.942621",0
71,公园一号3期,"125.276076,43.894650",9078
72,万龙第十城a区,"125.315646,43.955895",2536
73,邱家小区,"125.276400,44.003564",8846
74,中冶蓝城一期,"125.316542,43.951953",2674
75,万龙国际城一期,"125.319562,43.952725",2322
76,中冶蓝城一期,"125.316542,43.951953",2674
77,中冶蓝城三期,"125.317355,43.955859",2604
78,公园一号,"125.276076,43.894650",9078
79,万龙第十城D区,"125.314218,43.953971",2371
80,公园一号三期,"125.276076,43.894650",9078
81,兆丰凯旋明珠,"125.273693,44.001696",8501
