,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
0,0,万龙第八城E区,"125.309908,43.937169",3261,"125.311148003473,43.935293240018",2,"0.008778211805989145,-0.016935492621001913"
2,2,恒大城（桐雨社区）,"125.291287,43.946914",2148,"125.292568088108,43.944969075521",2,"-0.009801703559006114,-0.007259657117998586"
3,3,五星小区,"125.296963,43.949586",1594,"125.298229980469,43.947615559896",2,"-0.004139811198001553,-0.0046131727429994385"
4,4,田园牧歌,"125.302151,43.963260",1999,"125.303413628473,43.961194932726",2,"0.0010438368059908498,0.008966200087002107"
5,5,金都小镇,"125.289100,43.966024",5425,"125.290397135417,43.963935004341",1,"-0.011972656250009095,0.011706271702003335"
6,6,公园一号,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
7,7,绿园区正阳街与锦西路交汇处,"125.271787,43.893732",9277,"125.27314046224,43.892211371528",0,"-0.029229329427010953,-0.060017361111000866"
8,8,公园一号三期,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
9,9,天泽凯旋华府,"125.319142,43.959564",3201,"125.320365397136,43.957526041667",2,"0.0179956054689967,0.005297309028001962"
10,10,英伦小镇三期,"125.309787,43.953373",1264,"125.311020507813,43.951383463542",2,"0.008650716145993442,-0.0008452690969988907"
12,12,英伦小镇B区,"125.306239,43.950159",1180,"125.307481282553,43.948179253473",2,"0.005111490885994385,-0.004049479165999514"
13,13,万龙国际城三期,"125.320490,43.952957",2543,"125.321707899306,43.950962727865",2,"0.019338107639001123,-0.001266004774002738"
15,15,公园一号二期,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
16,16,英伦小镇A区,"125.305704,43.953547",778,"125.306950412327,43.951546223959",2,"0.0045806206599934285,-0.0006825086800006375"
17,17,大营子小区,"125.259756,43.985865",7036,"125.261145290799,43.983661838108",1,"-0.04122450086799745,0.03143310546899869"
18,18,公园一号,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
19,19,兆丰凯旋明珠,"125.273693,44.001696",8501,"125.275039333768,43.999348415799",1,"-0.027330457898997906,0.04711968315999826"
20,20,英伦小镇三期,"125.309787,43.953373",1264,"125.311020507813,43.951383463542",2,"0.008650716145993442,-0.0008452690969988907"
22,22,英伦小镇A区,"125.305704,43.953547",778,"125.306950412327,43.951546223959",2,"0.0045806206599934285,-0.0006825086800006375"
23,23,雨润星雨华府一期,"125.272580,43.990453",7558,"125.273926323785,43.988194444445",1,"-0.02844346788199914,0.035965711805999945"
24,24,天泽凯旋华府,"125.319142,43.959564",3201,"125.320365397136,43.957526041667",2,"0.0179956054689967,0.005297309028001962"
25,25,邱家小区四期,"125.278060,44.003291",9161,"125.279395073785,44.000930989584",1,"-0.022974717882007667,0.04870225694499908"
26,26,豪邦四季台北小区,"125.299914,43.922923",5263,"125.30118218316,43.921165635851",0,"-0.0011876085070099407,-0.03106309678800301"
27,27,万星幸福城,"125.334114,43.948937",3921,"125.33530436198,43.946980794271",2,"0.03293457031298885,-0.0052479383680008596"
28,28,田园牧歌,"125.302151,43.963260",1999,"125.303413628473,43.961194932726",2,"0.0010438368059908498,0.008966200087002107"
29,29,四间房子,"125.283745,43.963722",4002,"125.285047471789,43.96166015625",1,"-0.017322319878005032,0.009431423610998024"
33,33,四环路与四间南路交汇处,"125.274650,43.935866",3854,"125.275990125869,43.934018825955",0,"-0.02637966579800377,-0.018209906683999577"
35,35,豪邦四季经典C区,"125.280364,43.931770",4855,"125.281677246094,43.929956054688",0,"-0.02069254557299871,-0.022272677951001185"
36,36,田园牧歌,"125.302151,43.963260",1999,"125.303413628473,43.961194932726",2,"0.0010438368059908498,0.008966200087002107"
37,37,华泰世纪新城一期柳林路,"125.305209,43.944104",1902,"125.306457790799,43.942181260851",2,"0.004087999131996867,-0.01004747178799903"
38,38,陈家沟地房,"125.255424,43.949505",5772,"125.256828070747,43.947583007813",1,"-0.04554172091999931,-0.004645724825998343"
39,39,四间新村,"125.276475,43.966653",4796,"125.277797309028,43.964571668837",1,"-0.02457248263900169,0.012342936198002974"
40,40,万龙第十城,"125.315724,43.955516",2592,"125.316955837674,43.9535023329",2,"0.014586046006996867,0.0012736002610012065"
41,41,公园一号二期,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
42,42,恒大城（桐雨社区）,"125.291287,43.946914",2148,"125.292568088108,43.944969075521",2,"-0.009801703559006114,-0.007259657117998586"
43,43,五星小区,"125.296963,43.949586",1594,"125.298229980469,43.947615559896",2,"-0.004139811198001553,-0.0046131727429994385"
44,44,田园牧歌,"125.302151,43.963260",1999,"125.303413628473,43.961194932726",2,"0.0010438368059908498,0.008966200087002107"
45,45,金都小镇,"125.289100,43.966024",5425,"125.290397135417,43.963935004341",1,"-0.011972656250009095,0.011706271702003335"
46,46,万龙第八城E区,"125.309908,43.937169",3261,"125.311148003473,43.935293240018",2,"0.008778211805989145,-0.016935492621001913"
48,48,金都小镇,"125.289100,43.966024",5425,"125.290397135417,43.963935004341",1,"-0.011972656250009095,0.011706271702003335"
49,49,万龙国际城三期,"125.320490,43.952957",2543,"125.321707899306,43.950962727865",2,"0.019338107639001123,-0.001266004774002738"
50,50,美景天城A1区4号门,"125.300001,43.938184",2479,"125.301264919705,43.936306694879",2,"-0.0011048719619992653,-0.01592203775999934"
51,51,长江花园小区,"125.285756,43.948445",2849,"125.287058376737,43.946491699219",2,"-0.01531141493001087,-0.005737033419997317"
52,52,田园牧歌,"125.302151,43.963260",1999,"125.303413628473,43.961194932726",2,"0.0010438368059908498,0.008966200087002107"
53,53,陈家沟,"125.255424,43.949505",5772,"125.256828070747,43.947583007813",1,"-0.04554172091999931,-0.004645724825998343"
54,54,万龙第十城,"125.315724,43.955516",2592,"125.316955837674,43.9535023329",2,"0.014586046006996867,0.0012736002610012065"
55,55,万嘉花园,"125.280579,43.920137",5604,"125.281895887587,43.918403049046",0,"-0.020473904080006378,-0.03382568359300109"
56,56,中冶蓝城,"125.316863,43.953527",2501,"125.318088378907,43.951525607639",2,"0.01571858724000208,-0.0007031250000011369"
57,57,中正御华庭,"125.335362,43.933687",5268,"125.336555175782,43.93184217665",2,"0.03418538411499128,-0.020386555988999078"
58,58,中冶蓝城三期,"125.317355,43.955859",2604,"125.318579915365,43.953844943577",2,"0.01621012369800212,0.0016162109380033485"
60,60,恒大城2期,"125.291287,43.946914",2148,"125.292568088108,43.944969075521",2,"-0.009801703559006114,-0.007259657117998586"
61,61,金都小镇,"125.289100,43.966024",5425,"125.290397135417,43.963935004341",1,"-0.011972656250009095,0.011706271702003335"
62,62,恒大城,"125.291287,43.946914",2148,"125.292568088108,43.944969075521",2,"-0.009801703559006114,-0.007259657117998586"
65,65,万龙第十城,"125.315724,43.955516",2592,"125.316955837674,43.9535023329",2,"0.014586046006996867,0.0012736002610012065"
66,66,公园一号三期,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
67,67,万龙国际城一期,"125.319562,43.952725",2322,"125.320785319011,43.950731065539",2,"0.01841552734398988,-0.001497667099997102"
68,68,中冶蓝城一期,"125.316542,43.951953",2674,"125.317767198351,43.949965820313",2,"0.015397406684002135,-0.0022629123260031747"
69,69,万龙第十城,"125.315724,43.955516",2592,"125.316955837674,43.9535023329",2,"0.014586046006996867,0.0012736002610012065"
70,70,万龙第十城,"125.298724,43.942621",0,"125.299992675782,43.940712076823",2,"-0.002377115885010994,-0.011516655816002697"
71,71,公园一号3期,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
72,72,万龙第十城a区,"125.315646,43.955895",2536,"125.316875542535,43.953882107205",2,"0.01450575086799688,0.0016533745659970123"
73,73,邱家小区,"125.276400,44.003564",8846,"125.277743055556,44.001199273004",1,"-0.024626736111002856,0.04897054036499782"
74,74,中冶蓝城一期,"125.316542,43.951953",2674,"125.317767198351,43.949965820313",2,"0.015397406684002135,-0.0022629123260031747"
75,75,万龙国际城一期,"125.319562,43.952725",2322,"125.320785319011,43.950731065539",2,"0.01841552734398988,-0.001497667099997102"
76,76,中冶蓝城一期,"125.316542,43.951953",2674,"125.317767198351,43.949965820313",2,"0.015397406684002135,-0.0022629123260031747"
77,77,中冶蓝城三期,"125.317355,43.955859",2604,"125.318579915365,43.953844943577",2,"0.01621012369800212,0.0016162109380033485"
78,78,公园一号,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
79,79,万龙第十城D区,"125.314218,43.953971",2371,"125.315441623264,43.951970757379",2,"0.013071831596988659,-0.0002579752599984886"
80,80,公园一号三期,"125.276076,43.894650",9078,"125.277415635851,43.893124186198",0,"-0.024954155816004686,-0.05910454644099872"
81,81,兆丰凯旋明珠,"125.273693,44.001696",8501,"125.275039333768,43.999348415799",1,"-0.027330457898997906,0.04711968315999826"
