,id,loc,dis
0,北凯旋路与桐雨街交汇,"125.304630,43.971832",4853
1,台北大街,"125.310204,43.922719",3407
2,基隆街与新月路交汇,"125.283408,43.937287",2850
3,青年路司法局长安世家,"125.288964,43.954630",3296
4,青年路司法局长安世家,"125.288964,43.954630",3296
5,豪邦四季经典,"125.281784,43.935034",2937
6,豪邦四季经典,"125.281784,43.935034",2937
7,龙泰檀香苑,"125.287531,43.930838",3130
8,龙泰檀香苑,"125.287531,43.930838",3130
9,万龙国际城,"125.320490,43.952957",3091
10,新隆家园站,"125.279659,43.937653",2592
11,农安西街,"125.297225,43.942344",1331
12,豪邦四季经典,"125.281784,43.935034",2937
13,豪邦四季风采,"125.295695,43.934932",1721
14,檀香苑一期,"125.283657,43.930311",2801
15,新隆家园站,"125.279659,43.937653",2592
16,新隆家园站,"125.279659,43.937653",2592
17,新隆家园站,"125.279659,43.937653",2592
18,龙泰檀香苑三期,"125.285577,43.933613",2450
19,柳江路和基隆北街交汇,"125.283642,43.931913",3075
20,新隆家园站,"125.279659,43.937653",2592
21,新隆家园站,"125.279659,43.937653",2592
22,新月山庄,"125.290139,43.936219",2075
23,豪邦四季经典c区,"125.280364,43.931770",3649
24,新大华府,"125.282220,43.938146",2644
25,车轮名仕,"125.289892,43.932304",2443
26,新隆家园站,"125.279659,43.937653",2592
27,基隆北街与柳江路交汇,"125.282973,43.932590",2728
28,基隆北街与柳江路交汇,"125.282973,43.932590",2728
29,基隆北街与柳江路交汇,"125.282973,43.932590",2728
30,基隆北街檀香苑二期南门,"125.284475,43.930739",2689
31,西环城路与新月路交汇,"125.293566,43.936564",2133
32,龙泰檀香苑二期,"125.285429,43.931570",2990
33,万龙第五城,"125.302474,43.941267",965
34,基隆北街与柳江路交汇,"125.282973,43.932590",2728
35,基隆北街新月路交汇,"125.284527,43.937223",2342
36,新月山庄,"125.290139,43.936219",2075
37,龙泰檀香苑二期北门,"125.285809,43.932288",2892
38,基隆北街新月路交汇,"125.284527,43.937223",2342
39,新月山庄,"125.290139,43.936219",2075
40,新大华府,"125.282220,43.938146",2644
41,龙泰檀香苑3期,"125.285577,43.933613",2450
42,吉隆北街,"125.279494,43.926756",3452
43,基隆北街与新惠路交汇,"125.288667,43.930552",2379
44,基隆北街与新惠路交汇,"125.288667,43.930552",2379
45,基隆北街与新月路交汇,"125.293566,43.936564",2133
46,基隆北街与柳江路交汇,"125.282973,43.932590",2728
47,基隆北街与新月路交汇,"125.293566,43.936564",2133
48,新隆家园,"125.279659,43.937653",2592
49,新隆家园,"125.279659,43.937653",2592
50,龙泰檀香苑,"125.287531,43.930838",3130
51,基隆北街与新惠路交汇,"125.288667,43.930552",2379
52,基隆北街与新月路交汇,"125.293566,43.936564",2133
53,基隆北街与新月路交汇,"125.293566,43.936564",2133
54,龙泰檀香苑,"125.287531,43.930838",3130
55,基隆北街与柳江路交汇,"125.282973,43.932590",2728
56,新隆家园,"125.279659,43.937653",2592
57,基隆北街与柳江路交汇,"125.282973,43.932590",2728
58,龙泰檀香苑,"125.287531,43.930838",3130
59,豪邦四季经典,"125.281784,43.935034",2937
60,龙泰檀香苑二期,"125.285429,43.931570",2990
61,隆泰檀香苑三期,"125.285577,43.933613",2450
62,豪邦四季经典A区,"125.278864,43.936033",2758
63,龙泰檀香苑二期,"125.285429,43.931570",2990
64,新大华府,"125.282220,43.938146",2644
65,豪邦四季经典C区,"125.280364,43.931770",3649
66,豪邦四季经典A区,"125.278864,43.936033",2758
67,绿园区弘阳街市人大宿舍,"125.277842,43.885205",7707
68,豪邦四季经典,"125.281784,43.935034",2937
69,豪邦四季经典,"125.281784,43.935034",2937
70,新大华府,"125.282220,43.938146",2644
71,豪邦四季经典C区,"125.280364,43.931770",3649
72,豪邦四季经典,"125.281784,43.935034",2937
73,豪邦四季经典C区,"125.280364,43.931770",3649
74,豪邦四季经典,"125.281784,43.935034",2937
75,檀香苑三期,"125.285577,43.933613",2450
76,豪邦四季经典,"125.281784,43.935034",2937
77,豪邦四季经典C区,"125.280364,43.931770",3649
78,新月路豪邦四季经典,"125.281784,43.935034",2937
79,柳江路龙泰檀香苑,"125.287531,43.930838",3130
80,柳江路龙泰檀香苑,"125.287531,43.930838",3130
81,新月路豪邦四季经典,"125.281784,43.935034",2937
82,新月路豪邦四季经典,"125.281784,43.935034",2937
83,东安京誉府,"125.145816,43.985636",18675
84,柳江路龙泰檀香苑,"125.287531,43.930838",3130
85,柳江路龙泰檀香苑,"125.287531,43.930838",3130
86,柳江路龙泰檀香苑,"125.287531,43.930838",3130
87,豪邦四季经典c区,"125.280364,43.931770",3649
88,北环城英伦小镇,"125.307047,43.951043",2367
89,基隆北街与新月路交汇,"125.293566,43.936564",2133
90,基隆北街新惠路,"125.289316,43.930065",2358
91,农安南街与青年路交汇处,"125.294014,43.933118",1683
92,基隆北街与新月路交汇,"125.293566,43.936564",2133
93,亚泰大街与庆丰路交汇,"125.333959,43.938554",2695
94,基隆北街与新月路交汇,"125.293566,43.936564",2133
95,农安南街与青年路交汇处,"125.294014,43.933118",1683
96,万龙北斗星城A区,"125.296381,43.942886",1474
97,基隆北街新惠路,"125.289316,43.930065",2358
98,基隆北街新惠路,"125.289316,43.930065",2358
99,奋进乡教师楼,"125.426066,43.970759",18684
100,基隆北街与柳江路,"125.282973,43.932590",2728
101,基隆北街与柳江路交汇,"125.282973,43.932590",2728
102,基隆北街新惠路,"125.289316,43.930065",2358
103,"基隆北街与新月路交汇 
","125.293566,43.936564",2133
104,基隆北街与柳江路交汇,"125.282973,43.932590",2728
105,基隆北街新惠路,"125.289316,43.930065",2358
106,新月路与基隆北街交汇新隆家园,"125.279778,43.938041",2722
107,基隆北街与柳江路交汇,"125.282973,43.932590",2728
108,基隆北街与柳江路交汇,"125.282973,43.932590",2728
109,青年路车轮厂宿舍,"125.293352,43.935658",2129
110,基隆北街与新月路交汇,"125.293566,43.936564",2133
111,隆泰檀香苑一期,"125.283657,43.930311",2801
112,基隆北街与柳江路交汇,"125.282973,43.932590",2728
113,青年路与农安南街交汇,"125.296473,43.937747",1793
