,id,loc,dis
0,长新街九台路,"125.328990,43.922264",1140
1,万龙第十城,"125.315724,43.955516",4198
2,长新街亚泰大街,"125.338142,43.923664",3094
3,北人民大街,"125.323555,43.930705",717
4,鑫旺小区,"125.325228,43.926507",747
5,上台花园A区,"125.339543,43.940467",3731
6,康泰乐园A区,"125.320529,43.927351",287
7,华大城三期,"125.334554,43.958286",5213
8,鑫旺小区,"125.325228,43.926507",747
9,北凯旋路,"125.304630,43.971832",5413
10,二道沟街,"125.321312,43.926550",414
11,九台北路庆丰路,"125.336311,43.937410",2612
12,一筐街天波路,"125.323544,43.817071",15733
13,九台南路台北大街,"125.321652,43.921036",1017
14,北环城路,"125.325771,43.951562",3371
15,凯旋花园,"125.318846,43.934182",1700
16,东田青年城,"125.291694,43.943211",4790
17,新隆家园,"125.279659,43.937653",4891
18,"东田青年城

","125.291694,43.943211",4790
19,凯旋花园,"125.318846,43.934182",1700
20,凯旋花园,"125.318846,43.934182",1700
21,中正御华庭,"125.335362,43.933687",2382
22,凯旋花园,"125.318846,43.934182",1700
23,华大天朗三期,"125.343946,43.947177",4499
24,团兴路与小南街交叉口,"125.334852,43.960688",5388
25,温馨花园,"125.336130,43.922033",1644
26,机械处,"125.318480,43.933271",911
27,长新街铁路小区,"125.335835,43.930323",1765
28,九台路与,"125.329789,43.919390",1782
29,宏煜小区,"125.321537,43.934330",1277
30,北四环路,"125.272379,43.954808",8399
31,北凯旋路与桐雨街交汇青年公园,"125.316737,43.960774",3928
32,长新街长新小区,"125.331104,43.929561",1482
33,兰家兆丰玖号,"125.337981,43.939632",3097
34,一匡街天波路,"125.333798,43.923884",1462
35,东田青年城,"125.291694,43.943211",4790
36,马赛公寓,"125.318603,43.931592",790
37,柳影路菜市南街,"125.303407,43.937770",2712
38,一匡街天波路,"125.333798,43.923884",1462
39,九台路富城路交汇,"125.326053,43.945057",2772
40,一匡街利国街,"125.344147,43.922156",2297
41,北十条与庆丰路交汇,"125.333959,43.938554",2795
42,基隆街新惠路，龙泰檀香苑,"125.287531,43.930838",4409
43,一匡街康泰乐园一期,"125.320345,43.927775",203
44,天泽凯旋华府,"125.319142,43.959564",4193
45,扶余路美景天城二期,"125.307029,43.935237",2785
46,凯旋路花园,"125.317062,43.924913",380
47,蓉桥一号C区,"125.323544,43.817071",15733
48,康泰乐园,"125.320529,43.927351",287
49,万龙第十城,"125.315724,43.955516",4198
50,包豪斯小区,"125.335921,43.931923",2250
51,吉林工师,"125.316444,43.937447",1354
52,宋家路农安北街,"125.303170,43.947787",3325
53,兰家君子兰基地,"125.300731,43.951253",4180
54,正大光明城三期,"125.330489,43.938474",2593
55,美印雅苑,"125.346423,43.919857",3643
56,万龙国际城三期,"125.320490,43.952957",4232
57,公园一号二期,"125.276076,43.894650",7275
58,金苹果家园,"125.350559,43.922360",4100
59,万盛国邦,"125.338530,43.947330",4200
60,华大天朗,"125.345208,43.948490",4245
61,中冶蓝城三期,"125.317355,43.955859",3352
62,北环路凯旋路交汇,"125.318301,43.939953",1640
63,凯旋花园,"125.318846,43.934182",1700
64,中冶蓝城一期,"125.316542,43.951953",3712
65,万龙第八城B区,"125.304558,43.938603",2616
66,万龙第八城B区,"125.304558,43.938603",2616
67,庆丰路地铁站,"125.324188,43.937160",1399
