,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
0,0,长新街九台路,"125.328990,43.922264",1140,"125.33019639757,43.920506727431",2,"0.009745822483012034,-0.004279242622004631"
1,1,万龙第十城,"125.315724,43.955516",4198,"125.316955837674,43.9535023329",0,"-0.0034947374129927766,0.028716362846999743"
2,2,长新街亚泰大街,"125.338142,43.923664",3094,"125.339331597223,43.921903483073",2,"0.01888102213600007,-0.002882486979999044"
3,3,北人民大街,"125.323555,43.930705",717,"125.324772677952,43.928881564671",2,"0.004322102865003785,0.004095594618000575"
4,4,鑫旺小区,"125.325228,43.926507",747,"125.326436631945,43.92471733941",2,"0.00598605685800635,-6.86306429997785e-05"
5,5,上台花园A区,"125.339543,43.940467",3731,"125.34072781033,43.938576388889",2,"0.02027723524300029,0.01379041883599541"
6,6,康泰乐园A区,"125.320529,43.927351",287,"125.321743977865,43.925557725695",2,"0.001293402778003383,0.0007717556419990501"
7,7,华大城三期,"125.334554,43.958286",5213,"125.335747070313,43.956255967882",0,"0.01529649522601062,0.031469997828999396"
8,8,鑫旺小区,"125.325228,43.926507",747,"125.326436631945,43.92471733941",2,"0.00598605685800635,-6.86306429997785e-05"
9,9,北凯旋路,"125.304630,43.971832",5413,"125.305890570747,43.969693467882",0,"-0.014560004339998045,0.044907497829001386"
10,10,二道沟街,"125.321312,43.926550",414,"125.322535807292,43.924759657119",2,"0.0020852322050046723,-2.63129340041246e-05"
11,11,九台北路庆丰路,"125.336311,43.937410",2612,"125.337508409289,43.935541992188",2,"0.01705783420200646,0.010756022134998489"
13,13,九台南路台北大街,"125.321652,43.921036",1017,"125.322875976563,43.919283854167",2,"0.0024254014760032305,-0.005502115886002912"
14,14,北环城路,"125.325771,43.951562",3371,"125.326981879341,43.949583062066",0,"0.006531304254011161,0.024797092012995847"
15,15,凯旋花园,"125.318846,43.934182",1700,"125.320070529514,43.932330729167",2,"-0.0003800455729958685,0.007544759113997657"
16,16,东田青年城,"125.291694,43.943211",4790,"125.292978515625,43.941301812066",1,"-0.027472059461999265,0.016515842012999826"
17,17,新隆家园,"125.279659,43.937653",4891,"125.280977105035,43.935791829428",1,"-0.03947347005198765,0.011005859374996874"
18,18,"东田青年城

","125.291694,43.943211",4790,"125.292978515625,43.941301812066",1,"-0.027472059461999265,0.016515842012999826"
19,19,凯旋花园,"125.318846,43.934182",1700,"125.320070529514,43.932330729167",2,"-0.0003800455729958685,0.007544759113997657"
20,20,凯旋花园,"125.318846,43.934182",1700,"125.320070529514,43.932330729167",2,"-0.0003800455729958685,0.007544759113997657"
21,21,中正御华庭,"125.335362,43.933687",2382,"125.336555175782,43.93184217665",2,"0.016104600695001636,0.007056206596999459"
22,22,凯旋花园,"125.318846,43.934182",1700,"125.320070529514,43.932330729167",2,"-0.0003800455729958685,0.007544759113997657"
23,23,华大天朗三期,"125.343946,43.947177",4499,"125.345120713976,43.945230577257",0,"0.024670138889007376,0.020444607203998544"
24,24,团兴路与小南街交叉口,"125.334852,43.960688",5388,"125.336048177084,43.958635253907",0,"0.01559760199700122,0.033849283853996326"
25,25,温馨花园,"125.336130,43.922033",1644,"125.337325575087,43.920280490452",2,"0.016874999999998863,-0.004505479601000673"
26,26,机械处,"125.318480,43.933271",911,"125.319709472657,43.931430664063",2,"-0.0007411024299983637,0.006644694009999341"
27,27,长新街铁路小区,"125.335835,43.930323",1765,"125.337026095921,43.928505316841",2,"0.01657552083401015,0.003719346787995903"
28,28,九台路与,"125.329789,43.919390",1782,"125.33098795573,43.917660047744",2,"0.010537380643000915,-0.007125922309000998"
29,29,宏煜小区,"125.321537,43.934330",1277,"125.322747938369,43.93248562283",2,"0.0022973632820111334,0.007699652776999244"
30,30,北四环路,"125.272379,43.954808",8399,"125.273710394966,43.952815755209",1,"-0.04674018012099168,0.02802978515600074"
31,31,北凯旋路与桐雨街交汇青年公园,"125.316737,43.960774",3928,"125.317959255643,43.958720974393",0,"-0.002491319443990392,0.03393500434000174"
32,32,长新街长新小区,"125.331104,43.929561",1482,"125.332303059896,43.927756618924",2,"0.011852484809011798,0.002970648870999071"
33,33,兰家兆丰玖号,"125.337981,43.939632",3097,"125.339173448351,43.93775390625",2,"0.018722873264010786,0.01296793619700054"
34,34,一匡街天波路,"125.333798,43.923884",1462,"125.334989691841,43.922115071615",2,"0.014539116754008319,-0.0026708984379979483"
35,35,东田青年城,"125.291694,43.943211",4790,"125.292978515625,43.941301812066",1,"-0.027472059461999265,0.016515842012999826"
36,36,马赛公寓,"125.318603,43.931592",790,"125.319829644098,43.929761827257",2,"-0.0006209309890010672,0.004975857204001954"
37,37,柳影路菜市南街,"125.303407,43.937770",2712,"125.304662543403,43.935901963976",1,"-0.01578803168399645,0.011115993922999223"
38,38,一匡街天波路,"125.333798,43.923884",1462,"125.334989691841,43.922115071615",2,"0.014539116754008319,-0.0026708984379979483"
39,39,九台路富城路交汇,"125.326053,43.945057",2772,"125.32726155599,43.943127712674",0,"0.0068109809030119095,0.01834174262099708"
40,40,一匡街利国街,"125.344147,43.922156",2297,"125.345317382813,43.920405815973",2,"0.02486680772599925,-0.004380154080003251"
41,41,北十条与庆丰路交汇,"125.333959,43.938554",2795,"125.33515218099,43.93667670356",2,"0.014701605902999404,0.011890733507001983"
42,42,基隆街新惠路，龙泰檀香苑,"125.287531,43.930838",4409,"125.288828667535,43.92901421441",1,"-0.0316219075519939,0.004228244357001643"
43,43,一匡街康泰乐园一期,"125.320345,43.927775",203,"125.32156358507,43.925977376303",2,"0.001113009983001234,0.0011914062500011369"
44,44,天泽凯旋华府,"125.319142,43.959564",4193,"125.320365397136,43.957526041667",0,"-8.51779509929429e-05,0.0327400716140005"
45,45,扶余路美景天城二期,"125.307029,43.935237",2785,"125.308270670573,43.933379177518",1,"-0.012179904513999418,0.008593207464997477"
46,46,凯旋路花园,"125.317062,43.924913",380,"125.318294542101,43.923132866754",2,"-0.002156032985993761,-0.0016531032989988148"
48,48,康泰乐园,"125.320529,43.927351",287,"125.321743977865,43.925557725695",2,"0.001293402778003383,0.0007717556419990501"
49,49,万龙第十城,"125.315724,43.955516",4198,"125.316955837674,43.9535023329",0,"-0.0034947374129927766,0.028716362846999743"
50,50,包豪斯小区,"125.335921,43.931923",2250,"125.337116699219,43.930094401042",2,"0.016666124132001414,0.005308430988996804"
51,51,吉林工师,"125.316444,43.937447",1354,"125.317674696181,43.935574544271",2,"-0.0027758789059930677,0.010788574217997393"
52,52,宋家路农安北街,"125.303170,43.947787",3325,"125.30443359375,43.94583577474",1,"-0.016016981336989033,0.0210498046869958"
53,53,兰家君子兰基地,"125.300731,43.951253",4180,"125.30199842665,43.949279785157",1,"-0.01845214843699239,0.024493815104001726"
54,54,正大光明城三期,"125.330489,43.938474",2593,"125.331682671441,43.936599934896",2,"0.011232096354007126,0.011813964843000235"
55,55,美印雅苑,"125.346423,43.919857",3643,"125.347593044705,43.918121202257",2,"0.027142469617999154,-0.006664767796003446"
56,56,万龙国际城三期,"125.320490,43.952957",4232,"125.321707899306,43.950962727865",0,"0.0012573242190114797,0.0261767578119958"
57,57,公园一号二期,"125.276076,43.894650",7275,"125.277415635851,43.893124186198",1,"-0.04303493923599433,-0.03166178385500018"
58,58,金苹果家园,"125.350559,43.922360",4100,"125.351714138455,43.920617404514",2,"0.03126356336800029,-0.004168565539004021"
59,59,万盛国邦,"125.338530,43.947330",4200,"125.339716254341,43.945390353733",0,"0.019265679254004908,0.02060438368000206"
60,60,华大天朗,"125.345208,43.948490",4245,"125.346374240452,43.946541883681",0,"0.025923665364999238,0.02175591362799878"
61,61,中冶蓝城三期,"125.317355,43.955859",3352,"125.318579915365,43.953844943577",0,"-0.001870659721987522,0.029058973524001885"
62,62,北环路凯旋路交汇,"125.318301,43.939953",1640,"125.319530164931,43.938056369358",2,"-0.0009204101559987521,0.013270399305000069"
63,63,凯旋花园,"125.318846,43.934182",1700,"125.320070529514,43.932330729167",2,"-0.0003800455729958685,0.007544759113997657"
64,64,中冶蓝城一期,"125.316542,43.951953",3712,"125.317767198351,43.949965820313",0,"-0.0026833767359875083,0.025179850259995362"
65,65,万龙第八城B区,"125.304558,43.938603",2616,"125.305805121528,43.936723361546",1,"-0.014645453558998156,0.011937391492999438"
