,id,loc,dis
0,北凯旋路与桐雨街交汇,"125.304630,43.971832",5032
1,台北大街,"125.310204,43.922719",4320
2,基隆街与新月路交汇,"125.283408,43.937287",2505
3,青年路司法局长安世家,"125.288964,43.954630",2355
4,青年路司法局长安世家,"125.288964,43.954630",2355
5,豪邦四季经典,"125.281784,43.935034",2589
6,豪邦四季经典,"125.281784,43.935034",2589
7,龙泰檀香苑,"125.287531,43.930838",2782
8,龙泰檀香苑,"125.287531,43.930838",2782
9,万龙国际城,"125.320490,43.952957",2937
10,新隆家园站,"125.279659,43.937653",2244
11,农安西街,"125.297225,43.942344",387
12,豪邦四季经典,"125.281784,43.935034",2589
13,豪邦四季风采,"125.295695,43.934932",1373
14,檀香苑一期,"125.283657,43.930311",2453
15,新隆家园站,"125.279659,43.937653",2244
16,新隆家园站,"125.279659,43.937653",2244
17,新隆家园站,"125.279659,43.937653",2244
18,龙泰檀香苑三期,"125.285577,43.933613",2102
19,柳江路和基隆北街交汇,"125.283642,43.931913",2727
20,新隆家园站,"125.279659,43.937653",2244
21,新隆家园站,"125.279659,43.937653",2244
22,新月山庄,"125.290139,43.936219",1727
23,豪邦四季经典c区,"125.280364,43.931770",3301
24,新大华府,"125.282220,43.938146",2296
25,车轮名仕,"125.289892,43.932304",2095
26,新隆家园站,"125.279659,43.937653",2244
27,基隆北街与柳江路交汇,"125.282973,43.932590",2380
28,基隆北街与柳江路交汇,"125.282973,43.932590",2380
29,基隆北街与柳江路交汇,"125.282973,43.932590",2380
30,基隆北街檀香苑二期南门,"125.284475,43.930739",2341
31,西环城路与新月路交汇,"125.293566,43.936564",1785
32,龙泰檀香苑二期,"125.285429,43.931570",2642
33,万龙第五城,"125.302474,43.941267",693
34,基隆北街与柳江路交汇,"125.282973,43.932590",2380
35,基隆北街新月路交汇,"125.284527,43.937223",1994
36,新月山庄,"125.290139,43.936219",1727
37,龙泰檀香苑二期北门,"125.285809,43.932288",2544
38,基隆北街新月路交汇,"125.284527,43.937223",1994
39,新月山庄,"125.290139,43.936219",1727
40,新大华府,"125.298724,43.942621",1
41,龙泰檀香苑3期,"125.285577,43.933613",2102
42,吉隆北街,"125.279494,43.926756",3104
43,基隆北街与新惠路交汇,"125.288667,43.930552",2031
44,基隆北街与新惠路交汇,"125.288667,43.930552",2031
45,基隆北街与新月路交汇,"125.293566,43.936564",1785
46,基隆北街与柳江路交汇,"125.282973,43.932590",2380
47,基隆北街与新月路交汇,"125.293566,43.936564",1785
48,新隆家园,"125.279659,43.937653",2244
49,新隆家园,"125.279659,43.937653",2244
50,龙泰檀香苑,"125.287531,43.930838",2782
51,基隆北街与新惠路交汇,"125.288667,43.930552",2031
52,基隆北街与新月路交汇,"125.293566,43.936564",1785
53,基隆北街与新月路交汇,"125.293566,43.936564",1785
54,龙泰檀香苑,"125.287531,43.930838",2782
55,基隆北街与柳江路交汇,"125.282973,43.932590",2380
56,新隆家园,"125.279659,43.937653",2244
